modality_image,image,latitude,longitude,height,alfa,beta,gamma,fov
0000000, 28488116812_f5a57ca0f6_k, 46.2173, 10.1663, 439.500000, -0.272811, 0.243122, 0.0148168, 0.549165
0000001, 28561570606, 46.3463, 6.84551, 1407.000000, -0.0266129, 0.0875383, -0.0133118, 1.1531
0000002, eth_ch1_04032011388_01024, 46.86, 9.837, 2246.500000, -1.32929, -0.0745333, 0.0259748, 0.984675
0000003, eth_ch1_04032011389_01024, 46.86, 9.837, 2246.500000, -2.00974, -0.0324926, 0.0323811, 0.983756
0000004, eth_ch1_04032011390_01024, 46.86, 9.837, 2246.500000, -2.4636, -0.0151152, 0.0308304, 0.983893
0000005, eth_ch1_04032011391_01024, 46.86, 9.837, 2246.500000, -2.8523, -0.0294555, 0.0428048, 0.993818
0000006, eth_ch1_1332166_01024, 46.422, 7.402, 1939.000000, 1.24176, -0.0237761, 0.0368128, 0.643872
0000007, eth_ch1_2011-04-30_18:37:52_01024, 46.5296, 9.19213, 1620.500000, 2.23204, 0.307024, 0.0295321, 0.92434
0000008, eth_ch1_2011-04-30_18:40:20_01024, 46.5383, 9.2327, 1566.000000, 2.6975, 0.249273, 0.0981745, 0.939313
0000009, eth_ch1_2011-10-01_17:13:12_01024, 46.5562, 7.90146, 855.500000, -2.09158, 0.187911, 0.0490837, 0.939313
0000010, eth_ch1_2011-10-01_17:15:04_01024, 46.5561, 7.90143, 856.000000, -3.10115, 0.665497, 0.0290635, 0.911105
0000011, eth_ch1_2011-10-01_17:18:26_01024, 46.5561, 7.90143, 856.000000, 1.65132, 0.396528, 0.0122506, 0.939313
0000012, eth_ch1_2011-10-01_17:19:13_01024, 46.5561, 7.90143, 856.000000, 3.05041, 0.607828, 0.0324442, 0.89045
0000013, eth_ch1_2011-10-04_14:25:54_01024, 46.984, 8.613, 514.000000, -0.352046, 0.0866702, 2.6203e-07, 0.939313
0000014, eth_ch1_2011-10-04_14:26:04_01024, 46.9841, 8.6116, 439.500000, 0.361252, 0.0314471, 0.012271, 0.939313
0000015, eth_ch1_2011-10-04_14:26:13_01024, 46.9841, 8.6116, 439.500000, 0.666514, 0.0805341, 0.0245422, 0.939313
0000016, eth_ch1_2011-10-04_14:31:44_01024, 46.9768, 8.61109, 441.000000, 1.12811, 0.269604, 0.0335723, 0.912749
0000017, eth_ch1_2011-10-04_14:42:53_01024, 46.886, 8.62049, 438.500000, 1.83848, 0.192513, 0.0245428, 0.939313
0000018, eth_ch1_2011-10-04_14:43:05_01024, 46.882, 8.622, 439.500000, 1.9658, 0.172574, 0.0122717, 0.939313
0000019, eth_ch1_2011-10-04_14:44:30_01024, 46.864, 8.63399, 452.000000, 2.51929, 0.260942, 0.028853, 0.930701
0000020, eth_ch1_2011-10-04_14:48:13_01024, 46.812, 8.658, 475.000000, 2.87391, 0.445622, 0.0613613, 0.939313
0000021, eth_ch1_2011-10-04_14:48:49_01024, 46.802, 8.66249, 482.500000, 3.05492, 0.490107, 0.0981738, 0.939313
0000022, eth_ch1_2011-10-04_14:56:14_01024, 46.719, 8.616, 804.000000, 0.464902, 0.37817, -0.0631934, 0.902861
0000023, eth_ch1_2011-10-04_15:06:31_01024, 46.6499, 8.58634, 1309.000000, -1.15632, 0.279698, 0.00518125, 0.916385
0000024, eth_ch1_2011-10-04_15:09:39_01024, 46.6377, 8.59054, 1429.500000, -0.417914, 0.322805, 0.0724105, 0.920239
