image,longitude,latitude,country_id,admin1_id,admin2_id,cell_id
28488116812_f5a57ca0f6_k.jpg,10.1663,46.2173,4,19,100,8377
flickr_1637436219_d912602638_2282_84835246@N00_grid_1_0.004_0.004.xml_1_0_1.17601.jpg,10.29175949,47.58917618,2,6,114,8558
flickr_2083964014_49ba3bfe52_2343_21428225@N00.jpg,10.7111,47.2167,0,47,66,8424
flickr_3207943144_1d2d41a130_3499_17233842@N00.jpg,11.477,47.4811,2,6,116,8562
flickr_4389386083_6c95c8d006_2744_46538635@N03.jpg,10.604,47.1674,0,47,72,8421
flickr_4865957863_7bae3cba1e_4096_54738725@N00.jpg,11.7825,46.5381,4,45,19,8415
flickr_4928937186_358093df3d_4101_15887936@N00.jpg,15.9017,47.7884,0,20,77,8868
flickr_5900484780_03ba36929c_6052_52936359@N05_grid_1_0.004_0.004.xml_1_1_0.684912.jpg,10.74029922,47.19430923,0,47,66,8424
flickr_6781513415_c66e6b61cc_7008_65054360@N04.jpg,10.3428,47.4219,2,6,114,8558
flickr_8367558625_295b26ff80_8190_89031285@N02.jpg,10.6086,47.4344,0,47,78,8558
flickr_8367561371_54793a6f11_8357_89031285@N02_grid_1_0.008_0.008.xml_1_1_1.14268.jpg,10.62786102,47.44376755,0,47,78,8558
flickr_8528693442_8102ec17b4_8505_60347908@N00.jpg,11.7446,46.5846,4,45,19,8417
flickr_9285235848_f647593405_7301_68097255@N00.jpg,11.7828,46.5381,4,45,19,8415
flickr_9411823399_3b6bcb1ed6_3793_99739718@N08_grid_1_0.004_0.004.xml_0_0_1.17601.jpg,13.58646202,47.36062241,0,35,80,8841
flickr_9539345106_150a3a436e_3686_77295011@N06.jpg,11.3996,47.2466,0,47,41,8425
flickr_depth_local_10843888333_579da7ec94_7302_66772587@N04.jpg,11.7548,46.5056,4,45,102,8415
flickr_depth_local_3810268183_2aac9dff97_3555_12039065@N00.jpg,11.8099,46.4881,4,45,102,8415
flickr_sge_10036962973_dc4f80d346_o.jpg,11.7628,46.5602,4,45,19,8415
flickr_sge_10036964453_aff773b7ef_o.jpg,11.7628,46.5602,4,45,19,8415
flickr_sge_10057735304_eb4a53cec2_o.jpg,10.1669,47.3479,0,54,58,8421
flickr_sge_10078370074_7956fffffa_o.jpg,7.86196,47.995,2,3,31,8542
flickr_sge_10118947555_a8a13b6338_o_grid_1_0.008_0.008.xml_0_1_0.682226.jpg,6.900801659,45.98611069,3,33,25,8346
flickr_sge_10138037386_b9de2886b5_o_grid_1_0.004_0.004.xml_1_0_1.14268.jpg,15.37470818,47.40751648,0,41,59,8865
flickr_sge_10241026595_8b0cc527bc_o.jpg,6.82152,45.9081,3,33,25,8346
flickr_sge_10251198376_61e3ac059a_8394_55377698@N00.jpg,13.5798,47.6864,0,48,61,8843
flickr_sge_10251643945_7a7dd57d52_2848_55377698@N00.jpg,13.5806,47.6864,0,48,61,8843
flickr_sge_10264263363_a7f8e98714_o.jpg,13.5809,47.6856,0,48,61,8843
flickr_sge_10308885144_3c9235d7bc_o.jpg,11.0919,47.4895,2,6,116,8561
flickr_sge_10345322885_812a829c23_o_grid_1_0.004_0.004.xml_0_0_1.52499.jpg,12.24513626,46.62261581,4,45,19,8716
flickr_sge_10349127934_f9098fd06b_o.jpg,12.1082,46.7766,4,45,19,8716
flickr_sge_10361919885_f42970390a_o.jpg,12.0128,46.6115,4,45,19,8417
flickr_sge_10381889565_2739d0e282_2894_85839074@N05.jpg,10.9671,47.4624,2,6,116,8561
flickr_sge_10383165883_1409bb5f93_3708_40128104@N05_grid_1_0.004_0.004.xml_0_1_1.17601.jpg,11.65289402,47.3216629,0,47,83,8425
flickr_sge_10401307174_3632e05f36_3772_55377698@N00.jpg,13.8334,47.8948,0,48,61,8853
flickr_sge_10401332466_2c3722151f_2887_55377698@N00.jpg,13.8334,47.8948,0,48,61,8853
flickr_sge_10408423246_cedd642a4c_o.jpg,11.6453,46.5421,4,45,19,8414
flickr_sge_10408752774_8318fb330e_o.jpg,12.192,46.9074,4,45,19,8728
flickr_sge_10462388355_3b310b95eb_o_grid_1_0.004_0.004.xml_0_1_1.287.jpg,11.22176075,47.34338379,0,47,67,8424
flickr_sge_10462580873_6bfd42255c_o.jpg,11.2397,47.3384,0,47,67,8424
flickr_sge_10481205396_c4844f18b3_o_grid_1_0.004_0.004.xml_1_0_1.65757.jpg,11.15231037,47.5735054,2,6,116,8561
flickr_sge_10481215466_d753a093fb_o_grid_1_0.004_0.004.xml_1_0_1.40067.jpg,11.15231037,47.5735054,2,6,116,8561
flickr_sge_10481241364_5ff8b82736_o.jpg,11.1544,47.5754,2,6,116,8561
